,title,median,mean,my_status
1348,Cheburashka,7.0,5.773333333333333,75
1349,Detective Conan: Conan vs. Kid - Shark & Jewel,7.0,5.103626943005182,193
1366,Toriko 3D: Kaimaku Gourmet Adventure!!,7.0,5.74293059125964,778
1370,Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,7.0,5.725333333333333,375
1373,Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,7.0,5.38671875,256
1374,Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,7.0,5.570552147239264,163
1376,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,7.0,5.748663101604278,187
1386,Bleach Movie 4: Jigoku-hen,7.0,6.482398838686263,11022
1397,"Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de arimasu!!",7.0,5.701219512195122,164
1407,Naruto: Shippuuden Movie 4 - The Lost Tower,7.0,6.1332785237964735,10947
1409,Kizuna Ichigeki,7.0,5.926695842450766,914
1414,Digimon Adventure tri. 5: Kyousei,7.0,6.126013264554164,1357
1415,Hayate no Gotoku! Heaven Is a Place on Earth,7.0,6.332811031024757,3191
1443,One Piece 3D: Mugiwara Chase,7.0,6.081678956324447,3526
1467,Golden Time (Movie),7.0,6.051282051282051,39
1513,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,7.0,6.470686268674483,16801
1526,Hells,7.0,6.281521739130435,920
1587,Majime ni Fumajime Kaiketsu Zorori: Nazo no Otakara Daisakusen,7.0,5.219512195121951,41
1620,Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie 2: UFO Shuurai! Tornado Daisakusen,7.0,5.553191489361702,47
1627,Jarinko Chie,7.0,6.52803738317757,214
1657,Doraemon Movie 01: Nobita no Kyouryuu,7.0,6.117478510028653,349
1662,Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,7.0,5.732970027247957,367
1674,"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",7.0,6.284858170195765,5006
1696,Pokemon Diamond & Pearl: Arceus Choukoku no Jikuu e,7.0,5.597482935153583,4688
1704,Crayon Shin-chan Movie 03: Unkokusai no Yabou,7.0,5.406639004149378,241
1776,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,7.0,6.095829858215179,11990
1789,Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,7.0,5.63859649122807,285
1831,Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,7.0,6.2947019867549665,302
1853,Doraemon Movie 28: Nobita to Midori no Kyojin Den,7.0,6.15929203539823,339
1855,Digimon Adventure tri. 6: Bokura no Mirai,7.0,6.260930888575459,709
1872,Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!,7.0,6.0,248
1933,Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,7.0,5.9411764705882355,136
1937,Digimon Adventure tri. 2: Ketsui,7.0,6.486068965517242,3625
1961,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,7.0,6.284313725490196,102
2027,Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,7.0,5.95,40
2061,Doraemon Movie 34: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai,7.0,6.237410071942446,139
2088,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie,7.0,6.14681365958591,3719
2117,Sekaiichi Hatsukoi: Valentine-hen,7.0,6.342530282637954,1486
2175,Doraemon Movie 36: Shin Nobita no Nippon Tanjou,7.0,5.7407407407407405,81
2234,Haikyuu!! Movie 2: Shousha to Haisha,7.0,5.790613718411552,554
