,title,median,mean,my_status
1443,One Piece 3D: Mugiwara Chase,7.0,6.081678956324447,3526
1456,Da Nao Tiangong,7.0,5.730769230769231,52
1509,Eureka Seven: Pocket ga Niji de Ippai,7.0,6.463811563169165,4670
1514,Hashire Melos (Movie),7.0,6.248618784530387,181
1520,Ramayana: The Legend of Prince Rama,7.0,5.848739495798319,119
1521,Marco: Haha wo Tazunete Sanzenri,7.0,5.732394366197183,142
1523,Yousei Florence,7.0,6.07563025210084,119
1524,Afro Samurai: Resurrection,7.0,6.4446657183499285,7030
1526,Hells,7.0,6.281521739130435,920
1530,Sango Shou Densetsu: Aoi Umi no Elfie,7.0,5.747252747252747,91
1571,JoJo no Kimyou na Bouken: Phantom Blood,7.0,5.479674796747967,492
1587,Majime ni Fumajime Kaiketsu Zorori: Nazo no Otakara Daisakusen,7.0,5.219512195121951,41
1636,Pokemon Diamond & Pearl: Giratina to Sora no Hanataba Sheimi,7.0,5.63756761798172,5361
1657,Doraemon Movie 01: Nobita no Kyouryuu,7.0,6.117478510028653,349
1662,Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,7.0,5.732970027247957,367
1664,Nagagutsu wo Haita Neko: 80 Nichikan Sekai Isshuu,7.0,5.883248730964467,197
1665,Grimm Douwa: Kin no Tori,7.0,5.786516853932584,89
1674,"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",7.0,6.284858170195765,5006
1691,Tailenders,7.0,6.046975546975547,1554
1696,Pokemon Diamond & Pearl: Arceus Choukoku no Jikuu e,7.0,5.597482935153583,4688
1789,Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,7.0,5.63859649122807,285
1851,Mai Mai Shinko to Sennen no Mahou,7.0,6.417420814479638,884
1853,Doraemon Movie 28: Nobita to Midori no Kyojin Den,7.0,6.15929203539823,339
1855,Digimon Adventure tri. 6: Bokura no Mirai,7.0,6.260930888575459,709
1937,Digimon Adventure tri. 2: Ketsui,7.0,6.486068965517242,3625
2030,Appleseed Alpha,7.0,6.201052631578947,950
2061,Doraemon Movie 34: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai,7.0,6.237410071942446,139
2072,Hunter x Hunter Movie 2: The Last Mission,7.0,6.182075471698113,4240
2138,Hinata no Aoshigure,7.0,6.159404888416578,941
2157,Xiyouji zhi Dasheng Guilai,7.0,6.38,50
2171,Pokemon the Movie XY&Z: Volcanion to Karakuri no Magearna,7.0,5.854489164086687,646
2174,Yu☆Gi☆Oh! The Dark Side of Dimensions,7.0,6.469244288224956,1707
2175,Doraemon Movie 36: Shin Nobita no Nippon Tanjou,7.0,5.7407407407407405,81
2253,Fairy Tail Movie 2: Dragon Cry,7.0,6.547307132459971,2061
2338,Dragon Nest: Throne of Elves,7.0,6.403846153846154,52
2347,Dragon Ball Z Movie 15: Fukkatsu no F,7.0,6.40025716385011,5444
2350,Dragon Nest: Warriors&#039; Dawn,7.0,6.395238095238096,210
2354,Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daisuugeki,7.0,5.936507936507937,63
2384,Digimon Adventure tri. 1: Saikai,7.0,6.50593445527015,5645
2392,Pokemon the Movie XY: Ring no Choumajin Hoopa,7.0,5.774696707105719,1154
2414,s.CRY.ed Alteration II: Quan,7.0,5.708333333333333,168
2440,Chain Chronicle: Haecceitas no Hikari Part 2,7.0,6.003154574132492,634
2445,Godzilla: Kaijuu Wakusei,7.0,6.007402422611037,1486
2451,Chain Chronicle: Haecceitas no Hikari Part 3,7.0,5.967625899280575,556
2454,Chain Chronicle: Haecceitas no Hikari Part 1,7.0,5.989316239316239,936
2457,Fairy Tail Movie 1: Houou no Miko,7.0,6.509487558232019,8801
2462,Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken,7.0,6.085106382978723,47
2475,Hunter x Hunter Movie 1: Phantom Rouge,7.0,6.299680624556423,5636
2497,Afro Samurai Movie,7.0,6.1743315508021395,1870
2515,Madang-Eul Naon Amtalg,7.0,6.111111111111111,144
2537,Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,7.0,5.697703136576933,4049
2538,Magic Tree House,7.0,6.223958333333333,384
2576,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,7.0,6.541818181818182,275
2583,Naruto: Shippuuden Movie 5 - Blood Prison,7.0,6.247304802352173,9183
2584,s.CRY.ed Alteration I: Tao,7.0,5.430622009569378,209
2592,Tibet Inu Monogatari,7.0,6.786377708978328,323
2598,.hack//The Movie: Sekai no Mukou ni,7.0,6.312018489984592,1298
2618,009 Re:Cyborg,7.0,6.032051282051282,936
2640,Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure,7.0,5.988235294117647,170
2688,Kuiba: Zhi Shiwanhuoji,7.0,5.978260869565218,46
2757,Toriko Movie: Bishokushin no Special Menu,7.0,6.333333333333333,429
2785,Hirune Hime: Shiranai Watashi no Monogatari,7.0,6.386724386724387,693
2791,Dragon Ball Z Movie 14: Kami to Kami,7.0,6.521235102925243,9230
2819,Persona 4 the Animation: The Factor of Hope,7.0,5.823924731182796,744
2854,Doraemon Movie 33: Nobita no Himitsu Dougu Museum,7.0,6.019354838709678,155
2905,Konjiki no Gash Bell!!: 101 Banme no Mamono,7.0,6.283387622149837,614
2920,Brave Story,7.0,6.68442118226601,3248
2931,Slayers Return,7.0,6.166964285714286,2240
