,title,median,mean,my_status
403,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",8.0,7.0989010989010985,18473
405,Owari no Seraph: Nagoya Kessen-hen,8.0,6.717871140755002,14543
410,Lupin the Third: Mine Fujiko to Iu Onna,8.0,7.148148148148148,2241
419,Shingeki no Bahamut: Genesis,8.0,6.999825662482566,11472
423,Sidonia no Kishi,8.0,7.129013826991201,8751
426,Igano Kabamaru,8.0,7.046692607003891,514
429,Shakugan no Shana II (Second),8.0,7.030220048899755,20450
430,Dragon Ball Kai,8.0,6.822606991179353,9183
444,Toaru Kagaku no Railgun,8.0,7.093778274522327,18789
455,Shin Mazinger Shougeki! Z-hen,8.0,7.101497504159734,601
456,Senjou no Valkyria,8.0,7.006041890440387,7448
458,Higashi no Eden,8.0,7.435397218517813,26245
464,Phantom: Requiem for the Phantom,8.0,7.511633875106929,11690
487,Soukou Kihei Votoms,8.0,7.122314049586777,605
488,Mobile Suit Gundam 00,8.0,7.537598638403218,12926
493,Nurarihyon no Mago,8.0,6.878588627523616,10798
503,Angel Beats!,8.0,7.751651941495285,53876
504,Darker than Black: Ryuusei no Gemini,8.0,6.952763256161314,21424
508,Sengoku Basara Two,8.0,6.813396149119214,4882
511,Fairy Tail,8.0,7.5716437897556075,23896
513,Shakugan no Shana III (Final),8.0,6.879737192915635,10502
516,InuYasha: Kanketsu-hen,8.0,7.257623554153523,8559
517,Sengoku Basara,8.0,6.8364124958011425,8931
521,Mobile Suit Gundam 00 Second Season,8.0,7.526446676231468,10455
522,Zettai Karen Children,8.0,6.615432482887368,1607
523,Golgo 13 (TV),8.0,6.706196581196581,936
530,Michiko to Hatchin,8.0,7.161124867350548,5654
537,Chrome Shelled Regios,8.0,6.805764788590941,9957
539,Hayate no Gotoku!!,8.0,7.088180112570356,7995
547,Macross F,8.0,7.408719909081516,9679
548,Soul Eater,8.0,7.3802234396820285,37236
550,Toshokan Sensou,8.0,6.964217098943323,4164
554,Mnemosyne: Mnemosyne no Musume-tachi,8.0,6.819030444468018,9427
556,Nijuu Mensou no Musume,8.0,6.834641548927263,1911
574,Tetsuwan Birdy Decode:02,8.0,6.918708561545114,3469
594,Toaru Majutsu no Index,8.0,6.96855273287144,25980
597,Ga-Rei: Zero,8.0,7.168122906655017,13734
604,Kuroshitsuji,8.0,7.2275866738894905,29536
608,Casshern Sins,8.0,7.060401523018346,5778
620,Kore wa Zombie Desu ka? of the Dead,8.0,6.813620911968116,17062
621,Guilty Crown,8.0,7.018958803033408,29274
636,Terra e... (TV),8.0,7.481773399014778,3045
645,Shigurui,8.0,6.87521793275218,4015
655,Mirai Nikki (TV),8.0,7.250294076130428,42506
659,Heartcatch Precure!,8.0,6.936381709741551,1006
660,Jormungand,8.0,7.171521035598706,11433
661,Kingdom,8.0,7.502145922746781,3262
667,Heroic Age,8.0,6.954222853087296,5636
671,Shin Tennis no Ouji-sama,8.0,6.727175463623396,2804
674,Kyoukaisenjou no Horizon II,8.0,6.736817973406694,4362
683,Darker than Black: Kuro no Keiyakusha,8.0,7.57979895553476,33127
