,title,median,mean,my_status
314,Kimagure Orange☆Road,8.0,6.771891096394407,1359
317,Tsukimonogatari,8.0,7.293690464962746,10603
318,Lupin III (2015),8.0,7.002044989775051,978
321,Slayers Try,8.0,6.821098087600247,4863
325,Akatsuki no Yona,8.0,7.424658524246586,13837
327,Go! Princess Precure,8.0,7.012787723785166,391
329,Magic Kaito 1412,8.0,7.021347073978653,2717
331,Junjou Romantica 3,8.0,6.64487415592388,3258
332,Kamisama Hajimemashita◎,8.0,7.001089324618737,7344
337,Ore Monogatari!!,8.0,7.3309636650868875,12660
338,Shirobako,8.0,7.774815173918313,8251
339,Working!!!,8.0,7.254049445865302,8211
344,Maison Ikkoku,8.0,7.442140468227425,1495
345,Noragami,8.0,7.269173746935052,35074
351,Seitokai Yakuindomo*,8.0,6.912615532349058,8331
352,Lupin III: Part II,8.0,6.361976369495166,931
355,Lupin III,8.0,6.603359173126615,3096
357,Isshuukan Friends.,8.0,6.935769561478934,11630
361,Hoozuki no Reitetsu,8.0,6.853343661244513,3873
367,No Game No Life,8.0,7.6288026299152865,39545
370,Kodomo no Omocha (TV),8.0,7.022976501305483,1915
371,Akachan to Boku,8.0,6.673252279635259,658
373,D.Gray-man,8.0,7.530325443786983,18928
374,D-Frag!,8.0,6.923297435500116,12907
375,Space☆Dandy,8.0,6.950713675735025,8197
376,City Hunter &#039;91,8.0,6.585551330798479,789
377,City Hunter 3,8.0,6.696750902527076,831
378,City Hunter 2,8.0,6.858324715615305,967
379,City Hunter,8.0,6.889022195560888,1667
381,Bokura wa Minna Kawai-sou,8.0,7.130660727542687,13470
384,Ao Haru Ride,8.0,6.95516441695903,16817
388,Kuroshitsuji: Book of Circus,8.0,7.175944218477629,8605
389,Amagi Brilliant Park,8.0,6.888218923933209,17248
391,Free!: Eternal Summer,8.0,6.75529701097238,10572
399,Dragon Ball Kai (2014),8.0,6.754977520873474,3114
400,Barakamon,8.0,7.712114585611197,18292
402,Fairy Tail (2014),8.0,7.28338551225305,9263
409,To LOVE-Ru Darkness 2nd,8.0,6.73832631386193,5461
410,Lupin the Third: Mine Fujiko to Iu Onna,8.0,7.148148148148148,2241
420,Hanamonogatari,8.0,7.19492069313285,10907
426,Igano Kabamaru,8.0,7.046692607003891,514
428,Chi&#039;s Sweet Home: Atarashii Ouchi,8.0,6.770056854074542,1583
430,Dragon Ball Kai,8.0,6.822606991179353,9183
435,Mainichi Kaasan,8.0,7.346153846153846,52
446,Baka to Test to Shoukanjuu,8.0,7.075985025390119,26979
449,Sora no Otoshimono,8.0,6.853484186166109,19445
450,Seitokai no Ichizon,8.0,6.789205526770294,11580
458,Higashi no Eden,8.0,7.435397218517813,26245
460,Kobato.,8.0,7.358368804064259,7283
462,K-On!,8.0,7.180030819916042,37638
465,Nodame Cantabile Finale,8.0,7.546610169491525,8732
471,Zan Sayonara Zetsubou Sensei,8.0,6.927706283118849,5284
474,Working!!,8.0,7.049406699569463,19046
479,Kaichou wa Maid-sama!,8.0,7.398634420266735,31342
480,Hidamari Sketch x ☆☆☆,8.0,7.133299022130726,1943
481,Sayonara Zetsubou Sensei,8.0,7.300223739990579,16984
503,Angel Beats!,8.0,7.751651941495285,53876
505,Tentai Senshi Sunred 2nd Season,8.0,7.114503816793893,524
511,Fairy Tail,8.0,7.5716437897556075,23896
514,Kuuchuu Buranko,8.0,7.395356336665592,3101
516,InuYasha: Kanketsu-hen,8.0,7.257623554153523,8559
522,Zettai Karen Children,8.0,6.615432482887368,1607
526,Zoku Sayonara Zetsubou Sensei,8.0,7.127270663033606,8808
527,Major S4,8.0,7.50543615676359,3955
